amenity,x_meters,y_meters,latitude,longitude,kmeans_cluster,dbscan_cluster
fast_food,-9360307.977217099,4288594.155690433,35.9125435,-84.0850772,2,3
loading_dock,-9345630.591411596,4292740.6258362215,35.9427057,-83.953228,3,-1
fuel,-9343269.015206112,4305518.808414896,36.0355842,-83.9320136,1,1
restaurant,-9346741.515401918,4291536.630778948,35.9339488,-83.9632076,0,-1
cafe,-9360544.753774015,4289821.042113816,35.9214693,-84.0872042,2,3
cafe,-9342171.148992062,4296562.866348948,35.9704992,-83.9221513,3,0
cafe,-9342447.755662786,4297115.049152096,35.9745136,-83.9246361,3,0
cafe,-9344126.954521656,4293871.473420289,35.9509297,-83.9397206,3,0
restaurant,-9342179.163995398,4295633.48714004,35.9637421,-83.9222233,3,0
bicycle_repair_station,-9342880.510183245,4294015.821714889,35.9519794,-83.9285236,3,0
drinking_water,-9336974.220828276,4291877.911175618,35.9364311,-83.8754665,3,-1
bank,-9341838.882575942,4295699.174174438,35.9642197,-83.9191665,3,0
bank,-9341755.448617592,4295828.898982299,35.9651629,-83.918417,3,0
fast_food,-9341762.23910653,4295853.834600546,35.9653442,-83.918478,3,0
fast_food,-9341930.843607286,4295867.340844594,35.9654424,-83.9199926,3,0
place_of_worship,-9343306.496478662,4294306.380557127,35.9540923,-83.9323503,3,0
place_of_worship,-9339420.511166254,4299179.394732951,35.9895197,-83.8974419,1,-1
restaurant,-9336262.9783377,4289753.2324682735,35.920976,-83.8690773,3,-1
fuel,-9353635.097320732,4301486.845820116,36.0062896,-84.0251337,4,4
pharmacy,-9348660.106825741,4301228.225732584,36.0044102,-83.9804426,4,-1
